stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
130685,130685,Bº ALENTEJANO (R 25 ABRIL 13),Bairro Alentejano ( Rua 25 De Abril Número 13 ),38.601772,-9.005798,0,0,,
130686,130686,Bº ALENTEJANO (R 25 ABRIL 13),Bairro Alentejano ( Rua 25 De Abril Número 13 ),38.601833,-9.005739,0,0,,
130687,130687,Rua 25 de Abril (X) Rua das Fazendas,Cruzamento Entre ( Rua 25 De Abril ) E Rua Das Fazendas,38.600271,-9.004549,0,0,,
130688,130688,Rua 25 de Abril (X) Rua das Fazendas (Frente),Cruzamento Entre ( Rua 25 De Abril ) E Rua Das Fazendas ( Frente ),38.600501,-9.004388,0,0,,
130689,130689,MARQUESA I E II (ESTR DAS FONTAINHAS),Marquesa Primeira E Segundo ( Estrada Das Fontainhas ),38.58386,-8.977298,0,0,,
130690,130690,Quinta da Marquesa (Vivenda das Rosas),Quinta Da Marquesa ( Vivenda Das Rosas ),38.583808,-8.977081,0,0,,
130691,130691,Circular Sul à Autoeuropa (Zona Industrial),Circular Sul À Autoeuropa ( Zona Industrial ),38.579906,-8.99642,0,0,,
130693,130693,VILA AMÉLIA (AV ANTÓNIO XAVIER DE LIMA),Vila Amélia ( Avenida António Xavier De Lima ),38.57692,-9.01888,0,0,,
130694,130694,VILA AMÉLIA (AV ANTÓNIO XAVIER DE LIMA),Vila Amélia ( Avenida António Xavier De Lima ),38.57692,-9.01824,0,0,,
130695,130695,ESTR VILA AMÉLIA 24,Estrada Vila Amélia 24,38.576567,-9.010357,0,0,,
130696,130696,Estrada Vila Amélia (Restaurante),Estrada Vila Amélia ( Restaurante ),38.5767,-9.01034,0,0,,
130697,130697,International School of Palmela,International School Of Palmela,38.570521,-9.000081,0,0,,
130698,130698,Frente International School of Palmela,Frente International School Of Palmela,38.570839,-9.000298,0,0,,
130699,130699,ESTR VILA AMÉLIA,Estrada Vila Amélia,38.565153,-8.992203,0,0,,
130700,130700,Estrada Vila Amélia Frente (X) Rua do Vidro,Cruzamento Entre ( Estrada Vila Amélia Frente ) E Rua Do Vidro,38.56497,-8.991906,0,0,,
130701,130701,LANDEIRA (ETAR),Landeira ( Etar ),38.599545,-8.656589,0,0,,
130702,130702,LANDEIRA (ETAR),Landeira ( Etar ),38.599627,-8.656697,0,0,,
130703,130703,EN 10 (MOINHO NOVO),Estrada Nacional 10 ( Moinho Novo ),38.600249,-8.66469,0,0,,
130704,130704,EN 10 (MOINHO NOVO),Estrada Nacional 10 ( Moinho Novo ),38.600159,-8.664501,0,0,,
130705,130705,EN 10 (PORTO ABRIGO - MARATECA),Estrada Nacional 10 ( Porto Abrigo - Marateca ),38.581935,-8.680516,0,0,,
130706,130706,EN 10 (PORTO ABRIGO - MARATECA),Estrada Nacional 10 ( Porto Abrigo - Marateca ),38.581944,-8.680336,0,0,,
130707,130707,ÁGUAS MOURA (AV LIBERDADE 86) CORREIOS,Águas Moura ( Avenida Liberdade 86 ) Correios,38.583975,-8.691149,0,0,,
